342,183
337,329
388,331
441,331
498,329
545,331
595,327
648,330
696,327
738,328
791,330
839,329
891,327
929,327
968,326
381,183
436,186
495,191
546,189
595,189
741,196
790,196
700,196
649,194
837,193
885,200
927,197
972,197
1029,193
1073,198
1114,213
1143,237
1164,274
1169,317
1168,349
1164,391
1163,438
999,329
1018,344
1026,361
1030,386
1029,431
1027,467
1158,478
1157,522
1154,570
1151,616
1027,510
1029,555
1146,653
1126,694
1067,726
1013,740
960,745
909,741
873,727
846,697
837,649
833,600
1029,581
1026,608
1001,620
977,621
964,602
961,574
962,542
831,570
830,543
965,507
963,458
956,417
923,392
864,375
815,376
750,373
695,378
655,376
822,531
802,516
781,513
742,511
702,514
654,512
629,385
583,382
527,378
484,380
461,406
446,433
443,465
439,498
621,515
593,529
584,555
574,608
562,663
547,699
501,727
433,736
374,742
325,742
280,745
238,742
207,726
175,708
141,676
105,648
82,622
60,587
40,552
24,518
15,481
11,444
12,405
12,345
11,303
12,273
26,242
42,216
63,198
92,188
126,182
174,179
219,179
290,176
252,179
430,527
429,563
428,602
405,613
371,617
319,608
276,601
240,581
214,554
194,529
183,509
167,484
161,451
161,417
166,391
174,371
186,347
200,336
229,324
260,321
301,323
